,0,1,2,3,4,5,6
),0.0,1.0,0.0,0.0,0.0,0.0,0.0
).1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
).2,0.0,1.0,0.0,0.0,0.0,0.0,0.0
).3,0.0,0.0,0.0,0.0,1.0,0.0,0.0
).4,0.0,0.0,0.0,0.0,1.0,0.0,0.0
).5,0.0,2.0,0.0,0.0,2.0,1.0,0.0
).6,0.0,1.0,0.0,1.0,1.0,0.0,0.0
).7,0.0,0.0,0.0,1.0,1.0,0.0,0.0
).8,0.0,2.0,0.0,0.0,0.0,0.0,0.0
).9,0.0,0.0,0.0,0.0,2.0,0.0,0.0
).10,0.0,0.0,1.0,0.0,1.0,0.0,0.0
).11,0.0,0.0,0.0,0.0,1.0,5.0,0.0
).12,1.0,0.0,0.0,0.0,0.0,2.0,0.0
).13,0.0,0.0,2.0,0.0,3.0,3.0,0.0
).14,0.0,0.0,0.0,0.0,1.0,5.0,1.0
).15,0.0,1.0,0.0,0.0,0.0,1.0,0.0
).16,0.0,2.0,0.0,1.0,2.0,0.0,1.0
).17,4.0,11.0,2.0,0.0,10.0,1.0,0.0
).18,9.0,12.0,15.0,4.0,8.0,4.0,1.0
).19,22.0,35.0,41.0,31.0,59.0,13.0,9.0
).20,8.0,12.0,6.0,26.0,19.0,7.0,7.0
95,,,,,,,
95.1,,,,,,,
99,,,,,,,
100,,,,,,,
101,,,,,,,
102,,,,,,,
103,,,,,,,
104,,,,,,,
105,,,,,,,
106,,,,,,,
107,,,,,,,
108,,,,,,,
109,,,,,,,
110,,,,,,,
111,,,,,,,
112,,,,,,,
113,,,,,,,
